DATE,DTP20J28
2019/2/14,0.797
2019/2/15,0.796
2019/2/19,0.768
2019/2/20,0.76
2019/2/21,0.777
2019/2/22,0.724
2019/2/25,0.738
2019/2/26,0.708
2019/2/27,0.751
2019/2/28,0.761
2019/3/1,0.803
2019/3/4,0.766
2019/3/5,0.791
2019/3/6,0.774
2019/3/7,0.725
2019/3/8,0.718
2019/3/11,0.729
2019/3/12,0.692
2019/3/13,0.682
2019/3/14,0.676
2019/3/15,0.639
2019/3/18,0.633
2019/3/19,0.643
2019/3/20,0.561
2019/3/21,0.571
2019/3/22,0.534
2019/3/25,0.495
2019/3/26,0.546
2019/3/27,0.522
2019/3/28,0.537
2019/3/29,0.526
2019/4/1,0.572
2019/4/2,0.565
2019/4/3,0.598
2019/4/4,0.591
2019/4/5,0.583
2019/4/8,0.591
2019/4/9,0.572
2019/4/10,0.532
2019/4/11,0.554
2019/4/12,0.583
2019/4/15,0.588
2019/4/16,0.624
2019/4/17,0.635
2019/4/18,0.6
2019/4/23,0.595
2019/4/24,0.551
2019/4/25,0.544
2019/4/26,0.52
2019/4/29,0.556
2019/4/30,0.534
2019/5/1,0.557
2019/5/2,0.637
2019/5/3,0.604
2019/5/6,0.581
2019/5/7,0.563
2019/5/8,0.602
2019/5/9,0.584
2019/5/10,0.568
2019/5/13,0.538
2019/5/14,0.536
2019/5/15,0.52
2019/5/16,0.54
2019/5/17,0.556
2019/5/20,0.579
2019/5/21,0.577
2019/5/22,0.578
2019/5/23,0.531
2019/5/24,0.544
2019/5/28,0.519
2019/5/29,0.468
2019/5/30,0.467
2019/5/31,0.386
2019/6/4,0.36
2019/6/5,0.344
2019/6/6,0.366
2019/6/7,0.334
2019/6/10,0.385
2019/6/11,0.397
2019/6/12,0.401
2019/6/13,0.383
2019/6/14,0.442
2019/6/17,0.451
2019/6/18,0.402
2019/6/19,0.33
2019/6/20,0.238
2019/6/21,0.311
2019/6/24,0.291
2019/6/25,0.304
2019/6/26,0.322
2019/6/27,0.295
2019/6/28,0.302
2019/7/1,0.329
2019/7/2,0.305
2019/7/3,0.286
2019/7/5,0.338
2019/7/8,0.315
2019/7/9,0.325
2019/7/10,0.307
2019/7/11,0.339
2019/7/12,0.318
2019/7/15,0.306
2019/7/16,0.316
2019/7/17,0.288
2019/7/18,0.293
2019/7/19,0.293
2019/7/22,0.276
2019/7/23,0.29
2019/7/24,0.303
2019/7/25,0.303
2019/7/26,0.335
2019/7/29,0.329
2019/7/30,0.327
2019/7/31,0.327
2019/8/1,0.25
2019/8/2,0.246
2019/8/5,0.186
2019/8/6,0.164
2019/8/7,0.111
2019/8/8,0.104
2019/8/9,0.118
2019/8/12,0.073
2019/8/13,0.093
2019/8/14,0.066
2019/8/15,0.042
2019/8/16,0.056
2019/8/19,0.092
2019/8/20,0.082
2019/8/21,0.087
2019/8/22,0.124
2019/8/23,0.04
2019/8/26,0.057
2019/8/27,0.011
2019/8/28,-0.024
2019/8/29,-0.017
2019/8/30,0.008
2019/9/3,0.036
2019/9/4,0.015
2019/9/5,0.078
2019/9/6,0.07
2019/9/9,0.123
2019/9/10,0.182
2019/9/11,0.208
2019/9/12,0.236
2019/9/13,0.3
2019/9/16,0.237
2019/9/17,0.221
2019/9/18,0.259
2019/9/19,0.251
2019/9/20,0.21
2019/9/23,0.17
2019/9/24,0.135
2019/9/25,0.216
2019/9/26,0.189
2019/9/27,0.213
2019/9/30,0.237
2019/10/1,0.194
2019/10/2,0.161
2019/10/3,0.126
2019/10/4,0.08
2019/10/7,0.109
2019/10/8,0.125
2019/10/9,0.165
2019/10/10,0.195
2019/10/11,0.243
2019/10/15,0.275
2019/10/16,0.241
2019/10/17,0.239
2019/10/18,0.211
2019/10/21,0.248
2019/10/22,0.223
2019/10/23,0.199
2019/10/24,0.198
2019/10/25,0.209
2019/10/28,0.256
2019/10/29,0.273
2019/10/30,0.269
2019/10/31,0.196
2019/11/1,0.193
2019/11/4,0.199
2019/11/5,0.241
2019/11/6,0.191
2019/11/7,0.29
2019/11/8,0.274
2019/11/12,0.271
2019/11/13,0.272
2019/11/14,0.251
2019/11/15,0.262
2019/11/18,0.228
2019/11/19,0.213
2019/11/20,0.182
2019/11/21,0.203
2019/11/22,0.205
2019/11/25,0.187
2019/11/26,0.171
2019/11/27,0.186
2019/11/29,0.217
