CAT,
76.980972,0
72.917442,-4.06353
72.448257,-0.469185
73.570953,1.122696
74.325005,0.754052
73.436905,-0.8881
72.800156,-0.636749
72.364471,-0.435685
72.113121,-0.25135
71.226166,-0.886955
70.837608,-0.388558
70.930511,0.092903
72.113121,1.18261
73.337936,1.224815
72.315842,-1.022094
72.670624,0.354782
67.450302,-5.220322
67.585457,0.135155
67.577011,-0.008446
67.551666,-0.025345
68.286552,0.734886
70.888275,2.601723
69.224182,-1.664093
70.592644,1.368462
70.288559,-0.304085
71.521828,1.233269
70.871384,-0.650444
70.457489,-0.413895
70.558838,0.101349
71.910378,1.35154
72.121567,0.211189
71.631622,-0.489945
70.364571,-1.267051
71.32753,0.962959
70.525063,-0.802467
71.37822,0.853157
71.927292,0.549072
70.786919,-1.140373
70.026688,-0.760231
70.111153,0.084465
69.975998,-0.135155
69.038376,-0.937622
68.852539,-0.185837
67.627701,-1.224838
68.261238,0.633537
67.500977,-0.760261
67.323608,-0.177369
67.737503,0.413895
66.926582,-0.810921
67.551666,0.625084
66.267708,-1.283958
68.700462,2.432754
67.653015,-1.047447
68.58223,0.929215
68.497742,-0.084488
67.982475,-0.515267
67.458748,-0.523727
67.475639,0.016891
67.298256,-0.177383
68.734268,1.436012
67.602356,-1.131912
67.272911,-0.329445
67.779747,0.506836
68.835617,1.05587
68.033157,-0.80246
67.948685,-0.084472
68.151405,0.20272
69.773262,1.621857
69.384697,-0.388565
70.111153,0.726456
71.93573,1.824577
71.833527,-0.102203
70.930695,-0.902832
72.054962,1.124267
71.475792,-0.57917
72.284935,0.809143
72.216789,-0.068146
72.054962,-0.161827
72.67672,0.621758
73.417702,0.740982
74.52494,1.107238
73.996857,-0.528083
74.414207,0.41735
74.354591,-0.059616
74.099083,-0.255508
74.090561,-0.008522
73.613609,-0.476952
74.363113,0.749504
75.606606,1.243493
75.087082,-0.519524
75.325569,0.238487
75.581055,0.255486
75.317017,-0.264038
75.197792,-0.119225
74.303505,-0.894287
74.891167,0.587662
76.08358,1.192413
75.487381,-0.596199
74.814507,-0.672874
74.88266,0.068153
73.255882,-1.626778
72.668198,-0.587684
72.847054,0.178856
73.392159,0.545105
73.44326,0.051101
72.795967,-0.647293
73.289963,0.493996
73.375122,0.085159
73.869133,0.494011
75.359619,1.490486
75.095581,-0.264038
74.823044,-0.272537
74.209785,-0.613259
73.749886,-0.459899
74.311989,0.562103
74.473831,0.161842
74.541969,0.068138
75.180748,0.638779
75.334068,0.15332
75.095581,-0.238487
73.860611,-1.23497
73.945763,0.085152
72.651176,-1.294587
72.242355,-0.408821
71.501343,-0.741012
71.867592,0.366249
70.819984,-1.047608
71.535423,0.715439
70.070473,-1.46495
69.576485,-0.493988
69.968262,0.391777
71.237312,1.26905
71.93573,0.698418
71.680214,-0.255516
71.998268,0.318054
71.482529,-0.515739
70.700287,-0.782242
70.6745,-0.025787
68.559952,-2.114548
66.084358,-2.475594
65.413895,-0.670463
64.743416,-0.670479
66.857994,2.114578
66.471176,-0.386818
67.347931,0.876755
67.588615,0.240684
66.411003,-1.177612
65.843681,-0.567322
66.084358,0.240677
66.582924,0.498566
66.43679,-0.146134
68.903778,2.466988
67.081474,-1.822304
67.837898,0.756424
66.84079,-0.997108
67.468277,0.627487
67.511253,0.042976
67.751938,0.240685
66.539932,-1.212006
65.680359,-0.859573
64.468369,-1.21199
62.594479,-1.87389
61.941208,-0.653271
63.49704,1.555832
65.035683,1.538643
65.28495,0.249267
65.706161,0.421211
64.382401,-1.32376
65.413895,1.031494
63.995583,-1.418312
62.835152,-1.160431
63.866646,1.031494
62.714825,-1.151821
62.250641,-0.464184
62.431156,0.180515
62.551491,0.120335
64.107323,1.555832
65.018478,0.911155
63.660351,-1.358127
61.769279,-1.891072
62.027145,0.257866
61.614555,-0.41259
60.342377,-1.272178
56.560242,-3.782135
55.855389,-0.704853
54.832485,-1.022904
55.279461,0.446976
56.18203,0.902569
55.348232,-0.833798
56.474277,1.126045
59.465622,2.991345
60.875328,1.409706
60.497108,-0.37822
61.752079,1.254971
61.287922,-0.464157
60.600254,-0.687668
60.316586,-0.283668
60.78075,0.464164
60.883919,0.103169
59.895401,-0.988518
59.542961,-0.35244
60.402561,0.8596
59.886803,-0.515758
61.607777,1.720974
62.363987,0.75621
62.16407,-0.199917
61.181892,-0.982178
62.555191,1.373299
62.555191,0
63.441788,0.886597
64.615166,1.173378
64.971542,0.356376
64.797707,-0.173835
64.510872,-0.286835
64.180565,-0.330307
62.485676,-1.694889
62.955029,0.469353
62.503056,-0.451973
59.678204,-2.824852
60.521305,0.843101
61.181892,0.660587
60.312698,-0.869194
61.121044,0.808346
60.860283,-0.260761
61.833778,0.973495
61.729462,-0.104316
62.059776,0.330314
62.138,0.078224
61.903313,-0.234687
63.146255,1.242942
62.198826,-0.947429
61.738159,-0.460667
60.530003,-1.208156
60.825527,0.295524
59.417446,-1.408081
57.835537,-1.581909
57.287952,-0.547585
57.696465,0.408513
56.870735,-0.82573
57.470478,0.599743
58.018066,0.547588
58.861168,0.843102
56.410072,-2.451096
56.592587,0.182515
56.705582,0.112995
59.460903,2.755321
60.747295,1.286392
60.304012,-0.443283
59.608662,-0.69535
60.138878,0.530216
59.704269,-0.434609
59.069767,-0.634502
