VIG,
40.163219,0
40.310863,0.147644
39.308342,-1.002521
39.45602,0.147678
40.349731,0.893711
39.440472,-0.909259
39.588108,0.147636
40.015553,0.427445
39.836815,-0.178738
38.624458,-1.212357
38.935318,0.31086
37.676323,-1.258995
38.554516,0.878193
39.45602,0.901504
38.041588,-1.414432
37.777355,-0.264233
37.666401,-0.110954
38.229031,0.56263
38.43224,0.203209
36.689556,-1.742684
37.392872,0.703316
37.119354,-0.273518
36.064388,-1.054966
35.556454,-0.507934
34.431137,-1.125317
33.055779,-1.375358
32.516571,-0.539208
30.375357,-2.141214
29.953382,-0.421975
32.618149,2.664767
32.399345,-0.218804
29.695492,-2.703853
31.125566,1.430074
30.805162,-0.320404
32.118019,1.312857
31.34437,-0.773649
29.679861,-1.664509
29.961191,0.28133
29.085958,-0.875233
28.296682,-0.789276
31.055231,2.758549
30.648872,-0.406359
31.492855,0.843983
32.118019,0.625164
32.133648,0.015629
33.188618,1.05497
31.735111,-1.453507
30.516029,-1.219082
31.422533,0.906504
31.297493,-0.12504
30.711399,-0.586094
29.500132,-1.211267
31.55537,2.055238
30.250328,-1.305042
29.625164,-0.625164
30.039326,0.414162
28.523296,-1.51603
27.101049,-1.422247
28.796829,1.69578
29.820522,1.023693
30.351917,0.531395
30.883316,0.531399
31.297493,0.414177
29.101587,-2.195906
29.968998,0.867411
30.805162,0.836164
29.953382,-0.85178
30.992723,1.039341
31.563183,0.57046
30.797359,-0.765824
31.11776,0.320401
30.508217,-0.609543
30.617599,0.109382
30.508217,-0.109382
31.774185,1.265968
31.461584,-0.312601
31.109949,-0.351635
30.844252,-0.265697
30.700281,-0.143971
30.393534,-0.306747
30.527239,0.133705
30.668831,0.141592
30.590155,-0.078676
31.211573,0.621418
31.573402,0.361829
32.415058,0.841656
32.297054,-0.118004
32.281342,-0.015712
31.549809,-0.731533
31.455404,-0.094405
30.904791,-0.550613
30.424984,-0.479807
30.472183,0.047199
29.606945,-0.865238
29.811462,0.204517
30.18115,0.369688
28.969814,-1.211336
29.740667,0.770853
29.363117,-0.37755
29.103539,-0.259578
29.410299,0.30676
29.740667,0.330368
30.424984,0.684317
29.685602,-0.739382
29.166464,-0.519138
28.985558,-0.180906
29.441751,0.456193
29.142859,-0.298892
29.57548,0.432621
30.338463,0.762983
30.228348,-0.110115
28.977676,-1.250672
29.174318,0.196642
29.323772,0.149454
28.867563,-0.456209
27.931519,-0.936044
27.915796,-0.015723
27.727016,-0.18878
27.365183,-0.361833
26.570736,-0.794447
27.404514,0.833778
27.04269,-0.361824
26.649399,-0.393291
26.098795,-0.550604
25.060503,-1.038292
24.808798,-0.251705
25.31221,0.503412
24.258192,-1.054018
24.344707,0.086515
24.030079,-0.314628
25.257151,1.227072
25.272871,0.01572
26.153847,0.880976
26.41342,0.259573
26.460615,0.047195
27.04269,0.582075
27.60903,0.56634
27.255066,-0.353964
26.743788,-0.511278
28.513596,1.769808
28.002325,-0.511271
28.347948,0.345623
28.902847,0.554899
28.490631,-0.412216
27.682055,-0.808576
27.935741,0.253686
28.308311,0.37257
29.132755,0.824444
29.283369,0.150614
29.061401,-0.221968
28.371731,-0.68967
28.665051,0.29332
29.727299,1.062248
29.616314,-0.110985
29.10104,-0.515274
29.315084,0.214044
29.782793,0.467709
30.036455,0.253662
28.950418,-1.086037
29.481548,0.53113
29.283369,-0.198179
29.4974,0.214031
29.774855,0.277455
29.608393,-0.166462
29.4974,-0.110993
30.060232,0.562832
29.973038,-0.087194
30.052315,0.079277
31.035305,0.98299
30.789547,-0.245758
31.185915,0.396368
30.860889,-0.325026
31.645691,0.784802
31.02737,-0.618321
31.162134,0.134764
30.369413,-0.792721
30.607222,0.237809
30.35355,-0.253672
31.281044,0.927494
31.122496,-0.158548
30.948092,-0.174404
30.599285,-0.348807
30.654791,0.055506
31.431664,0.776873
30.686489,-0.745175
31.00358,0.317091
31.455435,0.451855
32.367085,0.91165
32.485992,0.118907
32.200611,-0.285381
32.351212,0.150601
32.390854,0.039642
32.390854,0
32.422577,0.031723
32.240246,-0.182331
32.351212,0.110966
32.485992,0.13478
31.780451,-0.705541
31.3841,-0.396351
31.376169,-0.007931
31.669477,0.293308
31.645691,-0.023786
30.916388,-0.729303
30.860889,-0.055499
30.973331,0.112442
31.611303,0.637972
31.611303,0
31.882435,0.271132
31.611303,-0.271132
31.810675,0.199372
31.061062,-0.749613
31.164732,0.10367
30.638411,-0.526321
30.694233,0.055822
30.662315,-0.031918
30.550695,-0.11162
31.220556,0.669861
31.427893,0.207337
32.129662,0.701769
32.35294,0.223278
32.344971,-0.007969
32.695843,0.350872
32.799526,0.103683
32.687881,-0.111645
33.206223,0.518342
33.389645,0.183422
33.485332,0.095687
33.47736,-0.007972
33.389645,-0.087715
33.692673,0.303028
33.684696,-0.007977
34.043556,0.35886
34.242905,0.199349
34.115345,-0.12756
33.892036,-0.223309
34.322666,0.43063
34.250889,-0.071777
33.923935,-0.326954
34.226974,0.303039
34.322666,0.095692
34.027607,-0.295059
33.42952,-0.598087
33.61293,0.18341
33.947868,0.334938
34.234951,0.287083
34.745331,0.51038
34.6576,-0.087731
34.769253,0.111653
34.801147,0.031894
34.841019,0.039872
34.689507,-0.151512
34.498112,-0.191395
