VaR,ES
3.792039474,2.403402901
3.792039474,2.403402901
3.802810818,2.411632357
3.884278532,2.456837042
3.910220288,2.472041731
3.910220288,2.472041731
3.910220288,2.472041731
4.002360817,2.523607764
4.002360817,2.523607764
4.067515848,2.562083497
4.067515848,2.562083497
4.051704514,2.5553717
4.051704514,2.5553717
4.051704514,2.5553717
4.104119099,2.58538283
4.104119099,2.58538283
4.103995575,2.58639931
4.103995575,2.58639931
4.103995575,2.58639931
4.103995575,2.58639931
4.154974799,2.616310734
4.154974799,2.616310734
4.154974799,2.616310734
4.163422585,2.625188817
4.218601813,2.657799354
4.218601813,2.657799354
4.218601813,2.657799354
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.158093227,2.63074174
4.254578599,2.678126308
4.14929899,2.625923914
4.14929899,2.625923914
4.14929899,2.625923914
4.14929899,2.625923914
4.14929899,2.625923914
4.14929899,2.625923914
4.14929899,2.625923914
4.14929899,2.625923914
4.14929899,2.625923914
4.14929899,2.625923914
4.14929899,2.625923914
4.117698233,2.612264893
4.117698233,2.612264893
4.117698233,2.612264893
4.117698233,2.612264893
4.117698233,2.612264893
4.117698233,2.612264893
4.117698233,2.612264893
4.104104278,2.606212789
4.127521305,2.61908911
4.118787604,2.61412556
4.166228172,2.640065014
4.169039096,2.641356271
4.148669667,2.62905598
4.148669667,2.62905598
4.148669667,2.62905598
4.148669667,2.62905598
4.148669667,2.62905598
4.148669667,2.62905598
4.148669667,2.62905598
4.148669667,2.62905598
4.148669667,2.62905598
4.160438383,2.634413049
4.160438383,2.634413049
4.160438383,2.634413049
4.160438383,2.634413049
4.19918256,2.656634926
4.19918256,2.656634926
4.19918256,2.656634926
4.212421798,2.665055045
4.273006556,2.698662942
4.203164436,2.659983036
4.203164436,2.659983036
4.203164436,2.659983036
4.203164436,2.659983036
4.259583616,2.69123646
4.259583616,2.69123646
4.259583616,2.69123646
4.259583616,2.69123646
4.229912243,2.679176649
4.229912243,2.679176649
4.229912243,2.679176649
4.229912243,2.679176649
4.229912243,2.679176649
4.229912243,2.679176649
4.229912243,2.679176649
4.229912243,2.679176649
4.229912243,2.679176649
4.229912243,2.679176649
4.229912243,2.679176649
4.251461594,2.686751317
4.251461594,2.686751317
4.251461594,2.686751317
4.251461594,2.686751317
4.251461594,2.686751317
4.251461594,2.686751317
4.211745475,2.669290954
4.200336878,2.666187033
4.200336878,2.666187033
4.200336878,2.666187033
4.200336878,2.666187033
4.200336878,2.666187033
4.200336878,2.666187033
4.200336878,2.666187033
4.204689325,2.66545947
4.204689325,2.66545947
4.300143231,2.72046408
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.374274555,2.762881878
4.370789359,2.76126357
4.370789359,2.76126357
4.370789359,2.76126357
4.370789359,2.76126357
4.370789359,2.76126357
4.370789359,2.76126357
4.370789359,2.76126357
4.370789359,2.76126357
4.337972107,2.742847264
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.420745288,2.789003177
4.486977562,2.829244886
4.486977562,2.829244886
4.504192162,2.841711112
4.504192162,2.841711112
4.504192162,2.841711112
4.503302817,2.841853896
4.503302817,2.841853896
4.503302817,2.841853896
4.503302817,2.841853896
4.503302817,2.841853896
4.519638913,2.851035605
4.556645525,2.871756305
4.556645525,2.871756305
4.556645525,2.871756305
4.518703033,2.853565749
4.518703033,2.853565749
4.518703033,2.853565749
4.518703033,2.853565749
4.518703033,2.853565749
4.518703033,2.853565749
4.518703033,2.853565749
4.518703033,2.853565749
4.490776976,2.841499692
4.490776976,2.841499692
4.490776976,2.841499692
4.490776976,2.841499692
4.490776976,2.841499692
4.490776976,2.841499692
4.490776976,2.841499692
4.494408246,2.840127743
4.494408246,2.840127743
4.494408246,2.840127743
4.494408246,2.840127743
4.494408246,2.840127743
4.461921817,2.825724915
4.461921817,2.825724915
4.461921817,2.825724915
4.493103814,2.842891606
4.493103814,2.842891606
4.493103814,2.842891606
4.442182275,2.814975944
4.442182275,2.814975944
4.442182275,2.814975944
4.442182275,2.814975944
4.442182275,2.814975944
4.467166609,2.82512415
4.432841561,2.809901468
4.432841561,2.809901468
4.432841561,2.809901468
4.432841561,2.809901468
4.432841561,2.809901468
4.432841561,2.809901468
4.432841561,2.809901468
4.432841561,2.809901468
4.432841561,2.809901468
4.432841561,2.809901468
4.432841561,2.809901468
4.433458749,2.810360374
4.405298875,2.80044939
4.405298875,2.80044939
4.405298875,2.80044939
4.405298875,2.80044939
4.405298875,2.80044939
4.405298875,2.80044939
4.405298875,2.80044939
4.42366344,2.805047746
4.42366344,2.805047746
4.42366344,2.805047746
4.42366344,2.805047746
4.42366344,2.805047746
4.42366344,2.805047746
4.42366344,2.805047746
4.42366344,2.805047746
4.42366344,2.805047746
4.42366344,2.805047746
4.42366344,2.805047746
4.383881631,2.78899555
4.383881631,2.78899555
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.398475417,2.798025886
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.406546145,2.801117599
4.467261638,2.828758352
4.456081068,2.827760839
4.456081068,2.827760839
4.456081068,2.827760839
4.48825459,2.846314504
4.48825459,2.846314504
4.496500222,2.852246013
4.496500222,2.852246013
4.496500222,2.852246013
4.496500222,2.852246013
4.496500222,2.852246013
4.496500222,2.852246013
4.496500222,2.852246013
4.496500222,2.852246013
4.496500222,2.852246013
4.496500222,2.852246013
4.496500222,2.852246013
4.496500222,2.852246013
4.504111776,2.854914343
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.550585609,2.881631737
4.536841346,2.872733129
4.536841346,2.872733129
4.519286897,2.864595904
4.519286897,2.864595904
4.519286897,2.864595904
4.519286897,2.864595904
4.519286897,2.864595904
4.519286897,2.864595904
4.519286897,2.864595904
4.519286897,2.864595904
4.519286897,2.864595904
4.519286897,2.864595904
4.519286897,2.864595904
4.519286897,2.864595904
4.511270655,2.861832517
4.511270655,2.861832517
4.511270655,2.861832517
4.511270655,2.861832517
4.511270655,2.861832517
4.511270655,2.861832517
4.511270655,2.861832517
4.511270655,2.861832517
4.511270655,2.861832517
4.511270655,2.861832517
4.511270655,2.861832517
4.62379845,2.923374661
4.62379845,2.923374661
4.62379845,2.923374661
4.62379845,2.923374661
4.62379845,2.923374661
4.62379845,2.923374661
4.617469217,2.919749191
4.617469217,2.919749191
4.605301838,2.911618416
4.605301838,2.911618416
4.605301838,2.911618416
4.597700311,2.906115265
4.597700311,2.906115265
4.578556862,2.896928308
4.578556862,2.896928308
4.595534547,2.904921685
4.589727799,2.903056459
4.589727799,2.903056459
4.589727799,2.903056459
4.589727799,2.903056459
4.589727799,2.903056459
4.589646182,2.904481168
4.534106874,2.872651866
