VaR,ES
1.571790529,1.927133589
1.571790529,1.927133589
1.579296378,1.931147754
1.587926729,1.949555283
1.58920631,1.945827066
1.58920631,1.945827066
1.58920631,1.945827066
1.596890429,1.963962878
1.596890429,1.963962878
1.612525617,1.990900158
1.612525617,1.990900158
1.622473597,1.999019118
1.622473597,1.999019118
1.622473597,1.999019118
1.622915844,1.99479343
1.622915844,1.99479343
1.626999159,1.996169929
1.626999159,1.996169929
1.626999159,1.996169929
1.626999159,1.996169929
1.632188325,1.999661408
1.632188325,1.999661408
1.632188325,1.999661408
1.657066424,2.031275732
1.666523076,2.042970173
1.666523076,2.042970173
1.666523076,2.042970173
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.697705086,2.075498668
1.664711041,2.037910303
1.698694196,2.078247785
1.698694196,2.078247785
1.698694196,2.078247785
1.698694196,2.078247785
1.698694196,2.078247785
1.698694196,2.078247785
1.698694196,2.078247785
1.698694196,2.078247785
1.698694196,2.078247785
1.698694196,2.078247785
1.698694196,2.078247785
1.712811216,2.092151095
1.712811216,2.092151095
1.712811216,2.092151095
1.712811216,2.092151095
1.712811216,2.092151095
1.712811216,2.092151095
1.712811216,2.092151095
1.717924187,2.097620993
1.716213167,2.091218138
1.716638261,2.094067591
1.714068446,2.085330771
1.713060759,2.084231042
1.710925959,2.08693943
1.710925959,2.08693943
1.710925959,2.08693943
1.710925959,2.08693943
1.710925959,2.08693943
1.710925959,2.08693943
1.710925959,2.08693943
1.710925959,2.08693943
1.710925959,2.08693943
1.706512659,2.082276925
1.706512659,2.082276925
1.706512659,2.082276925
1.706512659,2.082276925
1.707715986,2.078112085
1.707715986,2.078112085
1.707715986,2.078112085
1.710213439,2.076453454
1.708154553,2.069229692
1.709046977,2.073280228
1.709046977,2.073280228
1.709046977,2.073280228
1.709046977,2.073280228
1.706642485,2.065143945
1.706642485,2.065143945
1.706642485,2.065143945
1.706642485,2.065143945
1.723643377,2.080714552
1.723643377,2.080714552
1.723643377,2.080714552
1.723643377,2.080714552
1.723643377,2.080714552
1.723643377,2.080714552
1.723643377,2.080714552
1.723643377,2.080714552
1.723643377,2.080714552
1.723643377,2.080714552
1.723643377,2.080714552
1.706983109,2.06606325
1.706983109,2.06606325
1.706983109,2.06606325
1.706983109,2.06606325
1.706983109,2.06606325
1.706983109,2.06606325
1.724678516,2.08349135
1.735117858,2.091458744
1.735117858,2.091458744
1.735117858,2.091458744
1.735117858,2.091458744
1.735117858,2.091458744
1.735117858,2.091458744
1.735117858,2.091458744
1.725056994,2.084508067
1.725056994,2.084508067
1.760693317,2.161478663
1.771743502,2.180086929
